1024,3133,3357.5,3952,188.79
2048,3674,3808,3944,97.4
3072,4336,4456.6,4619,100.16
4096,4791,4922.2,5056,91.591
5120,5223,5372.2,5563,103.71
6144,5587,5709.5,5865,86.323
7168,6056,6194.3,6343,95.956
8192,6495,6547.8,6594,25.244
16384,9828,9871.1,9943,26.55
24576,12231,13118,13287,173.83
32768,16192,16689,16785,99.538
40960,14344,15405,17158,510.78
49152,15619,17235,18309,582.37
57344,18538,19426,20228,452.99
65536,20595,21454,22321,483.23
1.3107e+05,34583,35266,36228,378.66
2.6214e+05,60739,62604,65350,1478.3
3.9322e+05,87905,89440,90783,633.16
5.2429e+05,1.1534e+05,1.1686e+05,1.1876e+05,645.7
6.5536e+05,1.4281e+05,1.4405e+05,1.4678e+05,804.66
7.8643e+05,1.6852e+05,1.6986e+05,1.7171e+05,787.1
9.175e+05,1.9202e+05,1.9588e+05,1.9828e+05,1159.3
1.0486e+06,2.1438e+05,2.1978e+05,2.2409e+05,2924.3
1.5729e+06,3.0854e+05,3.254e+05,3.281e+05,3389.4
2.0972e+06,4.2777e+05,4.4087e+05,4.5572e+05,11297
2.6214e+06,5.2656e+05,5.418e+05,5.6054e+05,13675
3.1457e+06,6.3121e+05,6.4133e+05,6.5755e+05,8459.3
3.67e+06,7.1395e+05,7.272e+05,7.3569e+05,4287.1
4.1943e+06,8.3206e+05,8.5542e+05,8.6598e+05,6145.7
