1024,94837,95795,97126,878.48
2048,1.0575e+05,1.0674e+05,1.0815e+05,902.43
3072,1.1857e+05,1.1981e+05,1.2118e+05,962.83
4096,1.2761e+05,1.2867e+05,1.3012e+05,1029.9
5120,1.4179e+05,1.4299e+05,1.4426e+05,939.31
6144,1.5026e+05,1.5137e+05,1.5235e+05,920.53
7168,1.5982e+05,1.6091e+05,1.6235e+05,1056.6
8192,1.6713e+05,1.6738e+05,1.6867e+05,260.53
16384,2.3148e+05,2.3174e+05,2.3285e+05,309.81
24576,3.1425e+05,3.1453e+05,3.1553e+05,398.71
32768,3.3807e+05,3.6878e+05,3.7208e+05,6685.3
40960,3.2348e+05,3.619e+05,3.7603e+05,13188
49152,3.7523e+05,4.109e+05,4.2844e+05,11980
57344,3.8063e+05,4.422e+05,4.6216e+05,15535
65536,4.4194e+05,4.666e+05,4.8728e+05,10416
1.3107e+05,6.8215e+05,7.0092e+05,7.394e+05,12058
2.6214e+05,1.0582e+06,1.0791e+06,1.1141e+06,15135
3.9322e+05,1.4665e+06,1.5002e+06,1.5351e+06,16321
5.2429e+05,1.7913e+06,1.897e+06,1.9894e+06,28631
6.5536e+05,2.1045e+06,2.1281e+06,2.1821e+06,17911
7.8643e+05,2.4397e+06,2.4645e+06,2.5002e+06,12632
9.175e+05,2.7716e+06,2.8053e+06,2.8457e+06,17382
1.0486e+06,3.0443e+06,3.1042e+06,3.1466e+06,33550
1.5729e+06,4.6405e+06,4.6717e+06,4.7209e+06,22790
2.0972e+06,5.7141e+06,5.9409e+06,6.0817e+06,89837
2.6214e+06,6.9137e+06,7.2151e+06,7.3969e+06,1.317e+05
3.1457e+06,8.0697e+06,8.5376e+06,8.6772e+06,1.4008e+05
3.67e+06,9.2468e+06,9.6319e+06,9.7512e+06,1.1238e+05
4.1943e+06,1.0607e+07,1.1057e+07,1.1338e+07,1.212e+05
