1024,2817,2870.9,3159,60.802
2048,3108,3274,4639,362.7
3072,3337,3411.5,3462,27.984
4096,3514,3605.3,3707,60.274
5120,3779,3862,3992,60.436
6144,4029,4122.6,4263,63.637
7168,4321,4391.7,4555,59.744
8192,4541,4591.3,4681,27.449
16384,6596,6670.7,6708,23.11
24576,8669,8717.3,8767,24.935
32768,10707,10769,10822,26.649
40960,12798,12836,12889,26.446
49152,14858,14908,14981,31.037
57344,16898,16958,17007,28.509
65536,18971,19024,19094,31.53
1.3107e+05,35483,35548,35794,60.337
2.6214e+05,68530,68583,68638,29.024
3.9322e+05,1.015e+05,1.0156e+05,1.0172e+05,45.698
5.2429e+05,1.3438e+05,1.3443e+05,1.3453e+05,28.441
6.5536e+05,1.6718e+05,1.6724e+05,1.673e+05,27.956
7.8643e+05,2.0005e+05,2.0012e+05,2.0052e+05,79.614
9.175e+05,2.3281e+05,2.3287e+05,2.3315e+05,58.721
1.0486e+06,2.6564e+05,2.6571e+05,2.6583e+05,37.36
1.5729e+06,3.9687e+05,3.9699e+05,3.9763e+05,162.59
2.0972e+06,5.2782e+05,5.2897e+05,5.3104e+05,1257.6
2.6214e+06,6.5898e+05,6.6024e+05,6.6262e+05,1423.6
3.1457e+06,7.9016e+05,7.9127e+05,7.9431e+05,1480.7
3.67e+06,9.2128e+05,9.228e+05,9.2599e+05,1802.5
4.1943e+06,1.0202e+06,1.0204e+06,1.022e+06,317.32
