1024,2893,2945.9,3036,36.794
2048,3048,3121.2,3316,59.049
3072,3189,3242.9,3279,21.663
4096,3331,3392.4,3450,25.018
5120,3469,3527.1,3575,25.01
6144,3618,3655.3,3693,18.834
7168,3757,3793.1,3876,24.043
8192,3888,3919.7,3976,18.841
16384,4908,4948.6,4997,22.187
24576,5836,5979.6,6014,35.603
32768,6839,6997.1,7072,61.161
40960,8300,8337.6,8386,23.992
49152,9261,9400.2,9496,50.27
57344,10272,10366,10453,55.291
65536,11338,11472,11600,94.536
1.3107e+05,19868,19918,19966,23.616
2.6214e+05,36682,36765,36860,60.526
3.9322e+05,53110,53234,53386,84.248
5.2429e+05,69442,69559,69822,89.873
6.5536e+05,85892,86032,86200,77.975
7.8643e+05,1.0223e+05,1.0238e+05,1.025e+05,86.849
9.175e+05,1.1866e+05,1.188e+05,1.19e+05,94.008
1.0486e+06,1.3508e+05,1.3519e+05,1.3538e+05,80.187
1.5729e+06,2.0061e+05,2.0074e+05,2.0087e+05,87.186
2.0972e+06,2.6619e+05,2.6635e+05,2.6651e+05,99.85
2.6214e+06,3.3186e+05,3.3198e+05,3.3208e+05,74.423
3.1457e+06,3.9766e+05,3.978e+05,3.9794e+05,95.118
3.67e+06,4.633e+05,4.6341e+05,4.6356e+05,81.937
4.1943e+06,5.0168e+05,5.0213e+05,5.0252e+05,187.98
