1024,1793,1836.8,2038,44.381
2048,2647,2699.5,3028,70.195
3072,2981,3442.1,3995,275.91
4096,3426,3697.8,4049,190.42
5120,3818,4030.2,4244,130.22
6144,4258,4492.5,4741,156.55
7168,4657,4931.8,5229,171.89
8192,5066,5381.9,5726,170.23
16384,8501,9798.8,10900,1080.4
24576,12076,14432,15256,1192.8
32768,18402,18695,19268,210.69
40960,21363,21818,22696,275.18
49152,24957,25224,25944,243.4
57344,28349,28600,29350,207.21
65536,31285,31890,32450,219.34
1.3107e+05,55842,57757,58301,457
2.6214e+05,1.0621e+05,1.0943e+05,1.1231e+05,2447.4
3.9322e+05,1.5747e+05,1.6218e+05,1.6427e+05,2612.2
5.2429e+05,2.1627e+05,2.1714e+05,2.1826e+05,487.28
6.5536e+05,2.6132e+05,2.6846e+05,2.704e+05,1516.7
7.8643e+05,3.0912e+05,3.2666e+05,3.2838e+05,3374.6
9.175e+05,3.7814e+05,3.8104e+05,3.8317e+05,932.06
1.0486e+06,4.3326e+05,4.3428e+05,4.3634e+05,842.21
1.5729e+06,6.4679e+05,6.483e+05,6.5072e+05,755.6
2.0972e+06,8.6034e+05,8.6218e+05,8.6404e+05,883.99
2.6214e+06,1.0282e+06,1.0711e+06,1.0779e+06,12458
3.1457e+06,1.2823e+06,1.2843e+06,1.287e+06,1184.6
3.67e+06,1.4857e+06,1.497e+06,1.501e+06,2481
4.1943e+06,1.7068e+06,1.7096e+06,1.7118e+06,1180.4
