1024,1174,1211.2,1386,37.767
2048,1347,1390,1674,60.358
3072,1484,1624.7,1933,131.32
4096,1716,1742.9,1826,21.108
5120,1861,1890.6,1949,17.109
6144,1979,2004.1,2046,15.25
7168,2112,2143.1,2200,17.382
8192,2269,2299.7,2357,15.951
16384,3286,3378.8,3972,148.18
24576,4337,4376,4809,83.918
32768,5339,5415.6,6060,151.19
40960,4005,4284.8,4844,257.38
49152,4485,4753.9,5065,181.6
57344,4929,5248.9,6035,257.64
65536,5416,6062.2,9851,771.59
1.3107e+05,9769,10347,11034,335.78
2.6214e+05,17542,18284,19851,422.02
3.9322e+05,25560,26031,26767,289.37
5.2429e+05,31725,33464,34187,490.95
6.5536e+05,40890,41455,42358,365.62
7.8643e+05,48304,48788,49582,436.39
9.175e+05,55286,56063,57350,525.64
1.0486e+06,63436,64076,65280,368.27
1.5729e+06,93539,94710,96436,645.3
2.0972e+06,1.224e+05,1.2383e+05,1.2624e+05,809.23
2.6214e+06,1.5507e+05,1.5659e+05,1.5944e+05,1098.5
3.1457e+06,1.8481e+05,1.8666e+05,1.8911e+05,894.45
3.67e+06,2.1546e+05,2.1854e+05,2.2268e+05,1535.6
4.1943e+06,2.477e+05,2.5964e+05,2.768e+05,9040.8
