1024,1239,1333.1,1895,135.69
2048,1490,1523.9,1575,21.297
3072,1843,1908.8,2289,86.29
4096,2315,2350.5,2500,31.069
5120,2608,2632.7,2656,12.069
6144,2836,2865.1,2884,12.627
7168,3121,3141.7,3160,11.04
8192,3016,3329.1,3595,150.58
16384,4688,5113,5709,231.76
24576,6273,6803.8,7292,216.99
32768,7978,8512.9,8899,214.08
40960,6882,7458.8,8746,452.59
49152,7946,8304,8827,233.41
57344,8855,9285.2,10191,319.13
65536,10063,10549,11149,266.41
1.3107e+05,18541,19143,19859,377.7
2.6214e+05,35070,35597,36571,394.38
3.9322e+05,50868,51806,53192,566.11
5.2429e+05,67543,68371,69844,628.01
6.5536e+05,83828,85608,94340,2891.8
7.8643e+05,99926,1.0038e+05,1.0211e+05,511.98
9.175e+05,1.1436e+05,1.1542e+05,1.1768e+05,670.08
1.0486e+06,1.3083e+05,1.3231e+05,1.3365e+05,658.26
1.5729e+06,1.9462e+05,1.9638e+05,2.0075e+05,1095.4
2.0972e+06,2.5874e+05,2.6026e+05,2.6232e+05,942.32
2.6214e+06,3.2371e+05,3.2635e+05,3.2941e+05,1397.3
3.1457e+06,3.8304e+05,3.8952e+05,3.9843e+05,2280.3
3.67e+06,4.5238e+05,4.5518e+05,4.6068e+05,2845.7
4.1943e+06,5.1554e+05,5.1939e+05,5.2363e+05,2422
