1024,1307,1421.6,1681,73.83
2048,1825,1901.4,2169,65.918
3072,2318,2369,2409,28.253
4096,2758,2824.3,2879,39.231
5120,3157,3217.6,3278,34.173
6144,3497,3562.9,3616,36.921
7168,3948,3993.3,4043,29.919
8192,4353,4378.6,4410,13.73
16384,7408,7428.1,7455,12.797
24576,10503,10533,10567,15.64
32768,13709,13745,13784,17.989
40960,16857,16897,16945,19.72
49152,20047,20093,20133,20.065
57344,23014,23057,23168,27.571
65536,26230,26303,26376,44.572
1.3107e+05,50959,51012,51069,28.053
2.6214e+05,1.0051e+05,1.0066e+05,1.0084e+05,119.96
3.9322e+05,1.4983e+05,1.4989e+05,1.4998e+05,36.943
5.2429e+05,1.9891e+05,1.9898e+05,1.9906e+05,44.162
6.5536e+05,2.4841e+05,2.4847e+05,2.4854e+05,30.472
7.8643e+05,2.9745e+05,2.9751e+05,2.9755e+05,22.246
9.175e+05,3.4661e+05,3.4666e+05,3.4674e+05,33.879
1.0486e+06,3.9571e+05,3.9603e+05,3.9643e+05,294.05
1.5729e+06,5.9218e+05,5.9225e+05,5.923e+05,35.183
2.0972e+06,7.8885e+05,7.8891e+05,7.8896e+05,31.149
2.6214e+06,9.8562e+05,9.8568e+05,9.8577e+05,38.319
3.1457e+06,1.1829e+06,1.183e+06,1.1831e+06,43.776
3.67e+06,1.3794e+06,1.3795e+06,1.3796e+06,29.66
4.1943e+06,1.5758e+06,1.5759e+06,1.5761e+06,89.077
