1024,33965,35976,37369,1380.2
2048,44445,46598,47993,1280.1
3072,53228,55208,56771,1541.5
4096,62361,64381,65866,1466.9
5120,73794,75830,77320,1429.5
6144,80593,82790,84071,1259.5
7168,90207,92345,93797,1327.7
8192,97928,98722,99132,462.53
16384,1.5794e+05,1.5879e+05,1.5936e+05,495.26
24576,2.2112e+05,2.2184e+05,2.2239e+05,524.79
32768,2.8021e+05,2.8097e+05,2.8167e+05,506.33
40960,3.5137e+05,3.522e+05,3.528e+05,545.35
49152,4.0729e+05,4.0827e+05,4.087e+05,481.12
57344,4.5874e+05,4.5958e+05,4.6015e+05,526.67
65536,5.1353e+05,5.1453e+05,5.1499e+05,452.59
1.3107e+05,9.5024e+05,9.5099e+05,9.5154e+05,526.05
2.6214e+05,1.6622e+06,1.663e+06,1.6637e+06,537.18
3.9322e+05,2.4761e+06,2.4769e+06,2.4774e+06,508.25
5.2429e+05,3.2588e+06,3.2595e+06,3.2601e+06,552.52
6.5536e+05,3.8423e+06,3.843e+06,3.8439e+06,542.53
7.8643e+05,4.5455e+06,4.5464e+06,4.5467e+06,380.48
9.175e+05,5.2464e+06,5.2472e+06,5.2476e+06,485.36
1.0486e+06,5.9431e+06,5.944e+06,5.9446e+06,506.51
1.5729e+06,8.9975e+06,8.9983e+06,8.9988e+06,503.46
2.0972e+06,1.1507e+07,1.1508e+07,1.1509e+07,444.75
2.6214e+06,1.4246e+07,1.4247e+07,1.4247e+07,477.04
3.1457e+06,1.6981e+07,1.6982e+07,1.6983e+07,538.72
3.67e+06,1.9698e+07,1.9699e+07,1.9699e+07,427.56
4.1943e+06,2.2404e+07,2.2405e+07,2.2405e+07,506.69
