1024,21289,22484,23626,1044.5
2048,25245,26573,27722,1068.1
3072,29395,30666,31792,1046.6
4096,33476,34734,35917,1093.3
5120,37572,38823,39944,1095.6
6144,41777,42975,44096,1060.4
7168,45811,47030,48190,1080.5
8192,50030,50227,50510,123.51
16384,82738,82940,83248,113.47
24576,1.1548e+05,1.1572e+05,1.1596e+05,119.57
32768,1.4831e+05,1.4848e+05,1.4869e+05,96.185
40960,1.8107e+05,1.8124e+05,1.8146e+05,94.695
49152,2.1387e+05,2.1404e+05,2.1426e+05,97.714
57344,2.4662e+05,2.468e+05,2.4707e+05,91.944
65536,2.7934e+05,2.7956e+05,2.7977e+05,110.35
1.3107e+05,5.4152e+05,5.417e+05,5.4193e+05,106.43
2.6214e+05,1.0647e+06,1.066e+06,1.0663e+06,260.77
3.9322e+05,1.59e+06,1.5903e+06,1.5905e+06,107.13
5.2429e+05,2.1143e+06,2.1146e+06,2.1148e+06,127.43
6.5536e+05,2.6386e+06,2.6388e+06,2.6391e+06,116.1
7.8643e+05,3.1619e+06,3.1631e+06,3.1634e+06,249.04
9.175e+05,3.6872e+06,3.6874e+06,3.6876e+06,91.637
1.0486e+06,4.2115e+06,4.2117e+06,4.2119e+06,100.48
1.5729e+06,6.3085e+06,6.3089e+06,6.3091e+06,127.68
2.0972e+06,8.4058e+06,8.406e+06,8.4063e+06,105.85
2.6214e+06,1.0503e+07,1.0503e+07,1.0503e+07,129.83
3.1457e+06,1.2599e+07,1.26e+07,1.26e+07,241.11
3.67e+06,1.4697e+07,1.4698e+07,1.4698e+07,119.06
4.1943e+06,1.6794e+07,1.6795e+07,1.6795e+07,117.16
