1024,1663,1713.5,1789,26.876152741917817
2048,2255,2309.2333333333331,2362,29.298326812686565
3072,2956,3005.8333333333335,3189,58.539160681831888
4096,3469,3508.0333333333333,3551,22.489052253582582
5120,3980,4033.9666666666667,4102,29.225028637292638
6144,4530,4568.7666666666664,4625,22.227170904925838
7168,4993,5074.1000000000004,5137,35.496818701554567
8192,5496,5570.166666666667,5626,31.276391154961612
16384,9601,9664.8666666666668,9712,28.251009543552335
24576,13727,13767.333333333334,13826,23.518640198396017
32768,17814,17856.966666666667,17919,25.521435660262526
40960,21886,21961.766666666666,22060,29.330087333461968
49152,26009,26060.266666666666,26117,22.50200501922123
57344,30127,30167.366666666665,30215,22.033647205930354
65536,34220,34264.900000000001,34302,21.614729971113174
131072,67108,67152.866666666669,67265,32.706356371910914
262144,132853,132925.96666666667,132989,31.614579060860542
393216,198476,198547.13333333333,198611,30.372098508599837
524288,264191,264243.5,264308,34.060544470914913
655360,329692,329826.36666666664,329969,58.158216624304615
786432,395477,395555.76666666666,395630,40.963131727439247
917504,461121,461249,461336,48.578411552514943
1048576,526602,526694.5,526795,58.581361046573214
1572864,789050,789199.76666666672,789327,81.329336155782258
2097152,1051061,1051156.8999999999,1051256,49.536715745965154
2621440,1312884,1313062.3,1313243,119.96555540136769
3145728,1575105,1575314.8333333333,1575528,165.84581192581655
3670016,1777316,1792347.5,1807064,14771.784282181701
4194304,2034709,2034990.0333333334,2035329,195.32845606087827
