1024,140079,141708.70000000001,142849,705.89752846263389
2048,245984,247433.60000000001,248750,727.69729402007397
3072,351853,352730.53333333333,353872,575.41581566684465
4096,456435,457795.06666666665,459121,711.17784445016389
5120,562381,563265.26666666672,564174,507.79000094278268
6144,667840,668750.19999999995,669860,497.01414674933091
7168,773387,774448.33333333337,775318,447.16280560064888
8192,879220,879971.53333333333,880909,501.54311763852843
16384,1722639,1723596.1000000001,1724569,369.13051144921457
24576,2566554,2567444.7666666666,2568823,642.26579970543708
32768,3410334,3411281.8999999999,3412708,644.20308160146783
40960,4254500,4255537.5,4256903,598.39444665964561
49152,5097960,5099097.666666667,5100315,578.77422989919171
57344,5941377,5942458.5333333332,5944340,696.14355105693596
65536,6784816,6786662.333333333,6788074,743.01052729968819
131072,13534906,13536246.533333333,13537664,639.35580366346926
262144,27036059,27037360.066666666,27038877,768.21516981014952
393216,40536206,40537078.43333333,40538028,553.36679133024086
524288,54036622,54037413.533333331,54038318,409.43120624065551
655360,67537281,67537829.933333337,67538632,453.15818455577414
786432,81036971,81038320.966666669,81039577,639.35929585437498
917504,94537652,94538462.900000006,94539098,352.83026592360829
1048576,108037804,108039140.43333334,108040434,642.58855197275091
1572864,162039442,162040391.09999999,162041650,670.462390624097
2097152,216041261,216042220.73333332,216043083,515.77166381588108
2621440,270043118,270044086.69999999,270045406,574.24644174959326
3145728,324044708,324045769.36666667,324046775,526.49167287735452
3670016,378046946,378048473.76666665,378049880,777.84280316576917
4194304,432049154,432049877.96666664,432050850,516.40431121716824
