1024,45866,46672.433333333334,47725,454.60423737980943
2048,57821,58151.366666666669,59011,289.24163425846172
3072,69010,69438.933333333334,70350,322.22972457906309
4096,79619,80454.233333333337,81336,467.50184829679506
5120,91010,91861.399999999994,92232,286.86889952945648
6144,102450,103013.7,103449,278.96856206513604
7168,113890,114334.7,114776,273.99133512601804
8192,125154,125577,126190,278.39317272643319
16384,215266,215741.83333333334,216568,363.6508446045591
24576,305554,305889.46666666667,306543,251.68655017745755
32768,395666,396038.46666666667,397006,309.67477192663932
40960,485453,486116.63333333336,487021,314.03003187520181
49152,575714,576222.1333333333,576419,200.62552753538259
57344,665901,666344.8666666667,666531,189.31942234794849
65536,756290,756455.3666666667,756658,178.697294295425
131072,1477010,1477277.3999999999,1477871,252.19581882831196
262144,2918890,2919217.8666666667,2919741,268.42590107479583
393216,4360497,4361076.7999999998,4361799,357.6971749476325
524288,5802281,5802757.7666666666,5803246,276.21302165780179
655360,7244179,7244655.9000000004,7245421,323.92638052495812
786432,8685697,8686418.3000000007,8687176,349.56920778936279
917504,10127666,10128276.800000001,10128968,344.43811315402291
1048576,11569634,11570145.266666668,11570623,279.62683672368064
1572864,17336548,17337324.600000001,17337962,371.18009384793987
2097152,23103795,23104420.933333334,23105097,325.31077272444378
2621440,28870788,28871580.399999999,28872344,347.75026711112963
3145728,34638053,34638719.399999999,34639355,360.67958843999105
3670016,40405398,40405901.966666669,40406787,312.9896421480334
4194304,46172280,46173113.766666666,46173691,341.79704437023707
